[0000000040ns] mycpu : pc = 1c000000, inst = 1400040c, reg = 12, val = 00020000
[0000000052ns] mycpu : pc = 1c000004, inst = 0400102c, reg = 12, val = 00000000
[0000000086ns] mycpu : pc = 1c000008, inst = 02800001, reg = 01, val = 00000000
[0000000098ns] mycpu : pc = 1c00000c, inst = 02800002, reg = 02, val = 00000000
[0000000114ns] mycpu : pc = 1c000010, inst = 02800003, reg = 03, val = 00000000
[0000000130ns] mycpu : pc = 1c000014, inst = 02800004, reg = 04, val = 00000000
[0000000144ns] mycpu : pc = 1c000018, inst = 02800005, reg = 05, val = 00000000
[0000000158ns] mycpu : pc = 1c00001c, inst = 02800006, reg = 06, val = 00000000
[0000000172ns] mycpu : pc = 1c000020, inst = 02800007, reg = 07, val = 00000000
[0000000188ns] mycpu : pc = 1c000024, inst = 02800008, reg = 08, val = 00000000
[0000000206ns] mycpu : pc = 1c000028, inst = 02800009, reg = 09, val = 00000000
[0000000220ns] mycpu : pc = 1c00002c, inst = 0280000a, reg = 10, val = 00000000
[0000000246ns] mycpu : pc = 1c000030, inst = 0280000b, reg = 11, val = 00000000
[0000000264ns] mycpu : pc = 1c000034, inst = 0280000c, reg = 12, val = 00000000
[0000000276ns] mycpu : pc = 1c000038, inst = 0280000d, reg = 13, val = 00000000
[0000000290ns] mycpu : pc = 1c00003c, inst = 0280000e, reg = 14, val = 00000000
[0000000306ns] mycpu : pc = 1c000040, inst = 0280000f, reg = 15, val = 00000000
[0000000324ns] mycpu : pc = 1c000044, inst = 02800010, reg = 16, val = 00000000
[0000000336ns] mycpu : pc = 1c000048, inst = 02800011, reg = 17, val = 00000000
[0000000348ns] mycpu : pc = 1c00004c, inst = 02800012, reg = 18, val = 00000000
[0000000370ns] mycpu : pc = 1c000050, inst = 02800013, reg = 19, val = 00000000
[0000000396ns] mycpu : pc = 1c000054, inst = 02800014, reg = 20, val = 00000000
[0000000410ns] mycpu : pc = 1c000058, inst = 02800015, reg = 21, val = 00000000
[0000000426ns] mycpu : pc = 1c00005c, inst = 02800016, reg = 22, val = 00000000
[0000000440ns] mycpu : pc = 1c000060, inst = 02800017, reg = 23, val = 00000000
[0000000452ns] mycpu : pc = 1c000064, inst = 02800018, reg = 24, val = 00000000
[0000000466ns] mycpu : pc = 1c000068, inst = 02800019, reg = 25, val = 00000000
[0000000482ns] mycpu : pc = 1c00006c, inst = 0280001a, reg = 26, val = 00000000
[0000000494ns] mycpu : pc = 1c000070, inst = 0280001b, reg = 27, val = 00000000
[0000000508ns] mycpu : pc = 1c000074, inst = 0280001c, reg = 28, val = 00000000
[0000000522ns] mycpu : pc = 1c000078, inst = 0280001d, reg = 29, val = 00000000
[0000000538ns] mycpu : pc = 1c00007c, inst = 0280001e, reg = 30, val = 00000000
[0000000556ns] mycpu : pc = 1c000080, inst = 0280001f, reg = 31, val = 00000000
[0000000570ns] mycpu : pc = 1c000084, inst = 1dc8006c, reg = 12, val = 00003084
[0000000606ns] mycpu : pc = 1c000088, inst = 28aea18c, reg = 12, val = 00002c88
[0000000608ns] mycpu : pc = 1c00008c, inst = 1dc8006d, reg = 13, val = 0000308c
[0000000634ns] mycpu : pc = 1c000090, inst = 28aee1ad, reg = 13, val = 00002cd0
[0000000640ns] mycpu : pc = 1c000094, inst = 5800118d, reg = 00, val = 00000000
[0000000650ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002c8c
[0000000668ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002c88
[0000000680ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000000718ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002c90
[0000000736ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002c8c
[0000000754ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000000766ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002c94
[0000000780ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002c90
[0000000794ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
[0000000806ns] mycpu : pc = 1c000098, inst = 0280118c, reg = 12, val = 00002c98
[0000000826ns] mycpu : pc = 1c00009c, inst = 29bff180, reg = 00, val = 00002c94
[0000000842ns] mycpu : pc = 1c0000a0, inst = 63fff98d, reg = 00, val = 00000000
